date,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291
1/12/2019,1720,600
1/01/2020,3850,7200
1/02/2020,6240,13500
1/03/2020,8480,16200
1/04/2020,12100,25400
1/05/2020,15990,45800
1/06/2020,20500,55400
1/07/2020,24650,76300
1/08/2020,29470,106300
1/09/2020,38610,151100
1/10/2020,51720,285100
1/11/2020,64160,377800
1/12/2020,77870,492500
1/01/2021,90450,629900
1/02/2021,110680,808800
1/03/2021,126150,954000
1/04/2021,141280,1112100
1/05/2021,158610,1276400
1/06/2021,179010,1427400
1/07/2021,194360,1523200
1/08/2021,213500,1655700
1/09/2021,229290,1757800
1/10/2021,246280,1846300
1/11/2021,265960,1924700
1/12/2021,285870,2045000
1/01/2022,307700,2137000
1/02/2022,328500,2229300
1/03/2022,356390,2313900
1/04/2022,381820,2514400
1/05/2022,402680,2723700
1/06/2022,420240,2851600
1/07/2022,441010,2965400
1/08/2022,449940,3010400
1/09/2022,452270,3029500
1/10/2022,455010,3038600
