date,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291
1/12/2019,1720,600
1/01/2020,2130,6600
1/02/2020,2390,6300
1/03/2020,2240,2700
1/04/2020,3620,9200
1/05/2020,3890,20400
1/06/2020,4510,9600
1/07/2020,4150,20900
1/08/2020,4820,30000
1/09/2020,9140,44800
1/10/2020,13110,134000
1/11/2020,12440,92700
1/12/2020,13710,114700
1/01/2021,12580,137400
1/02/2021,20230,178900
1/03/2021,15470,145200
1/04/2021,15130,158100
1/05/2021,17330,164300
1/06/2021,20400,151000
1/07/2021,15350,95800
1/08/2021,19140,132500
1/09/2021,15790,102100
1/10/2021,16990,88500
1/11/2021,19680,78400
1/12/2021,19910,120300
1/01/2022,21830,92000
1/02/2022,20800,92300
1/03/2022,27890,84600
1/04/2022,25430,200500
1/05/2022,20860,209300
1/06/2022,17560,127900
1/07/2022,20770,113800
1/08/2022,8930,45000
1/09/2022,2330,19100
1/10/2022,2740,9100
