date,0x722122df12d4e14e13ac3b6895a86e84145b6967,0x905b63fff465b9ffbf41dea908ceb12478ec7601,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
1/12/2019,0,0,1720,600,0
1/01/2020,0,0,3850,7200,0
1/02/2020,0,0,6240,13500,0
1/03/2020,0,0,8480,16200,0
1/04/2020,0,0,12100,25400,0
1/05/2020,0,0,15990,45800,0
1/06/2020,0,0,20500,55400,0
1/07/2020,0,0,24650,76300,0
1/08/2020,0,0,29470,106300,0
1/09/2020,0,0,38610,151100,0
1/10/2020,0,0,51720,285100,0
1/11/2020,0,0,64160,377800,0
1/12/2020,0,72410,69860,428100,0
1/01/2021,0,222190,69860,428300,0
1/02/2021,0,421020,69860,428600,0
1/03/2021,10490,571200,69860,428600,0
1/04/2021,183620,571200,69860,428700,0
1/05/2021,365130,571200,69880,428800,0
1/06/2021,536500,571200,69910,428800,0
1/07/2021,641810,571200,69950,434600,0
1/08/2021,793340,571200,70060,434600,0
1/09/2021,911230,571200,70060,434600,0
1/10/2021,1016720,571200,70060,434600,0
1/11/2021,1114800,571200,70060,434600,0
1/12/2021,1255010,571200,70060,434600,0
1/01/2022,1368840,571200,70060,434600,0
1/02/2022,1457320,571200,70060,434600,24620
1/03/2022,1457320,571200,70060,434600,137110
1/04/2022,1457320,571200,70060,434600,363040
1/05/2022,1457320,571200,70060,434600,593200
1/06/2022,1457320,571200,70060,434600,738660
1/07/2022,1457320,571200,70060,434600,873230
1/08/2022,1457320,571200,70060,434600,927160
1/09/2022,1457320,571200,70060,434600,948590
1/10/2022,1457320,571200,70060,434600,960430
