date,0x722122df12d4e14e13ac3b6895a86e84145b6967,0x905b63fff465b9ffbf41dea908ceb12478ec7601,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
1/12/2019,0,0,1720,600,0
1/01/2020,0,0,2130,6600,0
1/02/2020,0,0,2390,6300,0
1/03/2020,0,0,2240,2700,0
1/04/2020,0,0,3620,9200,0
1/05/2020,0,0,3890,20400,0
1/06/2020,0,0,4510,9600,0
1/07/2020,0,0,4150,20900,0
1/08/2020,0,0,4820,30000,0
1/09/2020,0,0,9140,44800,0
1/10/2020,0,0,13110,134000,0
1/11/2020,0,0,12440,92700,0
1/12/2020,0,72410,5700,50300,0
1/01/2021,0,149780,0,200,0
1/02/2021,0,198830,0,300,0
1/03/2021,10490,150180,0,0,0
1/04/2021,173130,0,0,100,0
1/05/2021,181510,0,20,100,0
1/06/2021,171370,0,30,0,0
1/07/2021,105310,0,40,5800,0
1/08/2021,151530,0,110,0,0
1/09/2021,117890,0,0,0,0
1/10/2021,105490,0,0,0,0
1/11/2021,98080,0,0,0,0
1/12/2021,140210,0,0,0,0
1/01/2022,113830,0,0,0,0
1/02/2022,88480,0,0,0,24620
1/03/2022,0,0,0,0,112490
1/04/2022,0,0,0,0,225930
1/05/2022,0,0,0,0,230160
1/06/2022,0,0,0,0,145460
1/07/2022,0,0,0,0,134570
1/08/2022,0,0,0,0,53930
1/09/2022,0,0,0,0,21430
1/10/2022,0,0,0,0,11840
