date,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291
2019-12-01,990,300
2020-01-01,2840,5900
2020-02-01,5100,9200
2020-03-01,6960,13100
2020-04-01,10390,22100
2020-05-01,13980,41800
2020-06-01,18870,47900
2020-07-01,22830,61700
2020-08-01,27470,94500
2020-09-01,35450,130200
2020-10-01,48120,257200
2020-11-01,60090,344200
2020-12-01,71340,426600
2021-01-01,83270,532800
2021-02-01,97180,652800
2021-03-01,113450,820400
2021-04-01,129500,957700
2021-05-01,145980,1115900
2021-06-01,162900,1248200
2021-07-01,177540,1351000
2021-08-01,195620,1458400
2021-09-01,212960,1566400
2021-10-01,229840,1671300
2021-11-01,250850,1787400
2021-12-01,270830,1913000
2022-01-01,291060,2004900
2022-02-01,312400,2086100
2022-03-01,339430,2174400
2022-04-01,365470,2327100
2022-05-01,385530,2523500
2022-06-01,402450,2659700
2022-07-01,422850,2765700
2022-08-01,438540,2922200
2022-09-01,442280,2955300
2022-10-01,444530,2964500
