date,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291
2019-12-01,990,300
2020-01-01,1850,5600
2020-02-01,2260,3300
2020-03-01,1860,3900
2020-04-01,3430,9000
2020-05-01,3590,19700
2020-06-01,4890,6100
2020-07-01,3960,13800
2020-08-01,4640,32800
2020-09-01,7980,35700
2020-10-01,12670,127000
2020-11-01,11970,87000
2020-12-01,11250,82400
2021-01-01,11930,106200
2021-02-01,13910,120000
2021-03-01,16270,167600
2021-04-01,16050,137300
2021-05-01,16480,158200
2021-06-01,16920,132300
2021-07-01,14640,102800
2021-08-01,18080,107400
2021-09-01,17340,108000
2021-10-01,16880,104900
2021-11-01,21010,116100
2021-12-01,19980,125600
2022-01-01,20230,91900
2022-02-01,21340,81200
2022-03-01,27030,88300
2022-04-01,26040,152700
2022-05-01,20060,196400
2022-06-01,16920,136200
2022-07-01,20400,106000
2022-08-01,15690,156500
2022-09-01,3740,33100
2022-10-01,2250,9200
