date,0x00fce327a1c64b24a626c353e68222275d184c40,0x722122df12d4e14e13ac3b6895a86e84145b6967,0x905b63fff465b9ffbf41dea908ceb12478ec7601,0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,0xa160cdab225685da1d56aa342ad8841c3b53f291,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b
2019-12-01,0,0,0,990,300,0
2020-01-01,0,0,0,1850,5600,0
2020-02-01,0,0,0,2260,3300,0
2020-03-01,0,0,0,1860,3900,0
2020-04-01,0,0,0,3430,9000,0
2020-05-01,0,0,0,3590,19700,0
2020-06-01,0,0,0,4890,6100,0
2020-07-01,0,0,0,3960,13800,0
2020-08-01,0,0,0,4640,32800,0
2020-09-01,0,0,0,7980,35700,0
2020-10-01,0,0,0,12670,127000,0
2020-11-01,0,0,0,11970,87000,0
2020-12-01,0,0,40630,5620,47400,0
2021-01-01,0,0,117930,0,200,0
2021-02-01,0,0,133910,0,0,0
2021-03-01,0,14890,168980,0,0,0
2021-04-01,0,153350,0,0,0,0
2021-05-01,0,174580,0,0,100,0
2021-06-01,0,149220,0,0,0,0
2021-07-01,0,117440,0,0,0,0
2021-08-01,0,125480,0,0,0,0
2021-09-01,0,125340,0,0,0,0
2021-10-01,0,121780,0,0,0,0
2021-11-01,0,137110,0,0,0,0
2021-12-01,0,145580,0,0,0,0
2022-01-01,0,112130,0,0,0,0
2022-02-01,0,76830,0,0,0,25710
2022-03-01,0,0,0,120,0,115210
2022-04-01,0,0,0,110,0,178630
2022-05-01,0,0,0,40,0,216420
2022-06-01,0,0,0,10,0,153110
2022-07-01,0,0,0,60,0,126340
2022-08-01,14560,0,0,190,5900,151540
2022-09-01,8350,0,0,0,0,28490
2022-10-01,1330,0,0,0,0,10120
